"","Country","WorldID"
"Aruba1","Aruba",33230
"Aruba2","Aruba",33231
"Afghanistan1","Afghanistan",40921
"Afghanistan2","Afghanistan",40922
"Afghanistan3","Afghanistan",40923
"Afghanistan4","Afghanistan",40924
"Afghanistan5","Afghanistan",40925
"Afghanistan6","Afghanistan",40926
"Afghanistan7","Afghanistan",40927
"Afghanistan8","Afghanistan",41282
"Afghanistan9","Afghanistan",41283
"Afghanistan10","Afghanistan",41284
"Afghanistan11","Afghanistan",41285
"Afghanistan12","Afghanistan",41286
"Afghanistan13","Afghanistan",41287
"Afghanistan14","Afghanistan",41641
"Afghanistan15","Afghanistan",41642
"Afghanistan16","Afghanistan",41643
"Afghanistan17","Afghanistan",41644
"Afghanistan18","Afghanistan",41645
"Afghanistan19","Afghanistan",41646
"Afghanistan20","Afghanistan",41647
"Afghanistan21","Afghanistan",41648
"Afghanistan22","Afghanistan",41649
"Afghanistan23","Afghanistan",41650
"Afghanistan24","Afghanistan",42001
"Afghanistan25","Afghanistan",42002
"Afghanistan26","Afghanistan",42003
"Afghanistan27","Afghanistan",42004
"Afghanistan28","Afghanistan",42005
"Afghanistan29","Afghanistan",42006
"Afghanistan30","Afghanistan",42007
"Afghanistan31","Afghanistan",42008
"Afghanistan32","Afghanistan",42009
"Afghanistan33","Afghanistan",42010
"Afghanistan34","Afghanistan",42361
"Afghanistan35","Afghanistan",42362
"Afghanistan36","Afghanistan",42363
"Afghanistan37","Afghanistan",42364
"Afghanistan38","Afghanistan",42365
"Afghanistan39","Afghanistan",42366
"Afghanistan40","Afghanistan",42367
"Afghanistan41","Afghanistan",42368
"Afghanistan42","Afghanistan",42369
"Afghanistan43","Afghanistan",42370
"Afghanistan44","Afghanistan",42371
"Afghanistan45","Afghanistan",42721
"Afghanistan46","Afghanistan",42722
"Afghanistan47","Afghanistan",42723
"Afghanistan48","Afghanistan",42724
"Afghanistan49","Afghanistan",42725
"Afghanistan50","Afghanistan",42726
"Afghanistan51","Afghanistan",42727
"Afghanistan52","Afghanistan",42728
"Afghanistan53","Afghanistan",42729
"Afghanistan54","Afghanistan",42730
"Afghanistan55","Afghanistan",42731
"Afghanistan56","Afghanistan",42732
"Afghanistan57","Afghanistan",43081
"Afghanistan58","Afghanistan",43082
"Afghanistan59","Afghanistan",43083
"Afghanistan60","Afghanistan",43084
"Afghanistan61","Afghanistan",43085
"Afghanistan62","Afghanistan",43086
"Afghanistan63","Afghanistan",43087
"Afghanistan64","Afghanistan",43088
"Afghanistan65","Afghanistan",43089
"Afghanistan66","Afghanistan",43090
"Afghanistan67","Afghanistan",43091
"Afghanistan68","Afghanistan",43092
"Afghanistan69","Afghanistan",43442
"Afghanistan70","Afghanistan",43444
"Afghanistan71","Afghanistan",43445
"Afghanistan72","Afghanistan",43446
"Afghanistan73","Afghanistan",43447
"Afghanistan74","Afghanistan",43448
"Afghanistan75","Afghanistan",43449
"Afghanistan76","Afghanistan",43450
"Afghanistan77","Afghanistan",43451
"Afghanistan78","Afghanistan",43452
"Afghanistan79","Afghanistan",43805
"Afghanistan80","Afghanistan",43806
"Afghanistan81","Afghanistan",43807
"Afghanistan82","Afghanistan",43808
"Afghanistan83","Afghanistan",43809
"Afghanistan84","Afghanistan",43810
"Afghanistan85","Afghanistan",43811
"Afghanistan86","Afghanistan",43812
"Afghanistan87","Afghanistan",43813
"Afghanistan88","Afghanistan",43814
"Afghanistan89","Afghanistan",43815
"Afghanistan90","Afghanistan",44166
"Afghanistan91","Afghanistan",44167
"Afghanistan92","Afghanistan",44168
"Afghanistan93","Afghanistan",44169
"Afghanistan94","Afghanistan",44170
"Afghanistan95","Afghanistan",44171
"Afghanistan96","Afghanistan",44172
"Afghanistan97","Afghanistan",44174
"Afghanistan98","Afghanistan",44175
"Afghanistan99","Afghanistan",44531
"Afghanistan100","Afghanistan",44532
"Angola1","Angola",18919
"Angola2","Angola",18920
"Angola3","Angola",18921
"Angola4","Angola",18922
"Angola5","Angola",18923
"Angola6","Angola",18924
"Angola7","Angola",19272
"Angola8","Angola",19273
"Angola9","Angola",19274
"Angola10","Angola",19275
"Angola11","Angola",19276
"Angola12","Angola",19277
"Angola13","Angola",19278
"Angola14","Angola",19279
"Angola15","Angola",19280
"Angola16","Angola",19281
"Angola17","Angola",19282
"Angola18","Angola",19283
"Angola19","Angola",19284
"Angola20","Angola",19632
"Angola21","Angola",19633
"Angola22","Angola",19634
"Angola23","Angola",19635
"Angola24","Angola",19636
"Angola25","Angola",19637
